"LayerId","Radius","FreeRadius","BRadius","LocalMinimum","StartDistance","EndDistance","Charge","Ionizable","Hydropathy","Hydrophobicity","Polarity","Mutability","LogP","LogD","LogS"
1,1.11,1.27,3.04,0,0.00,0.07,0,0,1.97,0.37,1.66,49,0.69,0.69,-0.27
2,1.15,1.29,3.08,0,0.07,0.12,0,0,1.00,-0.15,2.30,54,0.12,0.12,-0.06
3,1.18,1.31,3.11,0,0.12,0.22,0,0,1.97,0.37,1.66,49,0.69,0.69,-0.27
4,1.31,1.39,3.24,0,0.22,0.26,0,0,1.20,-0.11,1.72,77,0.36,0.36,0.11
5,1.34,1.36,3.26,0,0.26,0.29,0,0,0.88,-0.25,2.05,77,0.12,0.12,0.25
6,1.34,1.33,3.27,0,0.29,0.44,0,0,0.15,-0.60,2.54,100,-0.38,-0.38,0.76
7,1.21,1.39,3.14,1,0.44,1.50,0,0,1.93,0.28,1.25,66,0.79,0.79,-0.06
8,1.35,1.98,3.28,0,1.50,3.61,0,0,2.70,0.64,0.54,66,1.33,1.33,-0.35
9,2.38,2.88,4.31,0,3.61,3.86,0,0,2.74,0.93,0.46,60,1.80,1.80,-0.93
10,2.47,2.86,4.39,0,3.86,4.26,0,0,2.48,0.87,0.55,61,1.73,1.73,-0.72
11,2.69,2.97,4.61,0,4.26,4.65,0,0,2.47,0.91,0.23,67,2.02,2.02,-1.01
12,2.72,2.82,4.63,0,4.65,5.31,0,0,1.75,0.48,1.02,67,1.30,1.30,-0.56
13,2.68,2.77,4.59,0,5.31,5.42,0,0,2.24,0.61,0.84,75,1.40,1.40,-0.70
14,2.54,2.85,4.46,0,5.42,5.86,0,0,2.44,0.57,0.80,75,1.32,1.32,-0.70
15,2.40,2.56,4.30,0,5.86,8.19,0,0,2.10,0.43,0.97,83,1.13,1.13,-0.43
16,2.08,2.29,3.97,1,8.19,9.44,0,0,1.55,0.22,1.81,74,0.64,0.64,-0.37
17,2.10,2.43,3.99,0,9.44,10.35,0,0,1.06,0.52,1.87,58,1.03,1.03,-0.79
18,2.30,2.48,4.19,0,10.35,11.07,0,0,0.63,0.31,2.25,61,0.67,0.67,-0.54
19,2.27,2.43,4.17,1,11.07,11.83,0,0,1.00,0.40,2.09,55,0.70,0.70,-0.40
20,2.28,2.53,4.17,1,11.83,12.32,0,0,1.35,0.70,1.77,55,1.09,1.09,-0.70
21,2.17,2.75,4.07,1,12.32,12.62,0,0,0.94,0.41,1.75,68,0.84,0.84,-0.41
22,2.22,2.87,4.12,0,12.62,12.79,0,0,1.28,0.71,1.34,68,1.27,1.27,-0.71
23,2.14,2.82,4.05,1,12.79,13.06,0,0,0.32,0.35,1.78,71,0.95,0.95,-0.54
24,2.16,2.67,4.07,0,13.06,14.51,0,0,-0.65,0.15,2.19,65,0.74,0.74,-0.36
25,2.13,2.71,4.03,0,14.51,15.40,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
26,1.97,3.02,3.87,0,15.40,16.18,0,0,-0.26,0.18,1.82,85,0.84,0.84,-0.53
27,1.87,3.44,3.76,1,16.18,16.74,0,0,-0.15,0.41,1.86,79,1.09,1.09,-0.86
28,1.98,3.63,3.87,0,16.74,16.94,0,0,0.03,0.81,1.92,70,1.50,1.50,-1.40
29,1.98,3.59,3.86,0,16.94,17.09,0,0,-2.20,0.31,2.82,54,1.13,1.13,-1.18
30,1.94,3.45,3.81,1,17.09,17.34,0,0,-0.90,1.71,2.10,25,2.59,2.59,-2.48
31,2.01,3.25,3.89,0,17.34,18.84,0,0,0.97,0.92,1.30,78,1.56,1.56,-1.19
32,2.17,3.39,4.06,0,18.84,19.48,0,0,1.20,0.94,1.33,82,1.54,1.54,-1.07
33,1.90,3.51,3.79,1,19.48,20.64,0,0,0.50,1.36,1.77,59,2.04,2.04,-1.60
34,1.90,3.13,3.80,1,20.64,22.58,0,0,1.60,1.28,1.22,57,2.05,2.05,-1.66
35,1.88,3.43,3.79,1,22.58,24.30,0,0,0.88,1.24,1.32,55,2.08,2.08,-1.61
36,1.96,2.94,3.86,0,24.30,25.00,0,0,0.53,1.32,1.28,43,2.28,2.28,-1.90
37,2.07,2.74,3.98,0,25.00,25.39,0,0,0.23,0.80,1.38,59,1.67,1.67,-1.24
38,1.95,2.83,3.87,0,25.39,25.64,0,0,0.60,0.49,1.13,70,1.37,1.37,-0.82
39,1.73,2.74,3.65,0,25.64,27.25,0,0,0.93,0.62,1.21,76,1.40,1.40,-0.80
40,1.63,2.76,3.54,0,27.25,27.97,0,0,-0.03,0.45,1.57,83,1.17,1.17,-0.46
41,1.50,2.24,3.42,0,27.97,28.93,0,0,0.30,1.06,1.52,71,1.83,1.83,-1.08
42,1.50,1.89,3.42,1,28.93,29.82,0,0,0.80,0.71,1.01,81,1.58,1.58,-0.52
43,1.58,2.46,3.50,0,29.82,30.82,0,0,1.55,0.82,0.79,74,1.71,1.71,-0.84
44,1.49,2.42,3.41,0,30.82,31.29,0,0,2.03,0.85,0.47,64,1.86,1.86,-1.11
45,1.13,1.21,3.06,0,31.29,33.73,0,0,1.43,0.76,0.58,68,1.78,1.78,-0.88
46,0.92,0.97,2.84,0,33.73,34.31,0,0,1.73,0.12,1.17,77,0.77,0.77,-0.13
47,0.81,0.81,2.74,1,34.31,34.31,0,0,2.80,0.58,0.07,77,1.58,1.58,-0.60

